(20540,-11299)
(27970,-9049)
(-2911,25630)
(-29419,18490)
(-23013,-9410)
(-26941,24000)
(-7183,26215)
(-13411,-6177)
(-12298,-23065)
(-29454,4857)
(-19222,-4711)
(-13522,11715)
(4715,12877)
(20335,-23305)
(2424,-3295)
(-2546,-8689)
(22684,-19671)
(-23646,26735)
(-28039,9014)
(-28059,17714)
(22197,-11485)
(23903,7623)
(13112,28390)
(-9952,3520)
(6551,-16058)
(3149,32560)
(29922,4845)
(-5458,20197)
(-32499,-17773)
(7003,-10579)
(-16239,9109)
(-28117,21123)
(-11209,30049)
(-10159,26339)
(-2018,-15194)
(11290,-19854)
(-28362,-7044)
(1262,-24202)
(9938,21045)
(-18070,-26907)
(-31486,-5803)
(16922,18631)
(-17241,-30060)
(-28411,-12928)
(-3051,-611)
(-20513,-4407)
(25270,-6421)
(20766,-18361)
(-28780,31533)
(-32526,-5933)
(12802,19491)
(13196,-3883)
(-30688,-971)
(17154,20185)
(-1490,14357)
(-7348,-6451)
(18248,795)
(-1168,-11147)
(-361,-23144)
(-315,640)
(-32047,1044)
(6771,-1310)
(7953,22526)
(28951,19020)
(24480,-29135)
(4366,-26281)
(24005,30496)
(-22575,25420)
(30511,18794)
(-25397,-17352)
(9475,3229)
(19599,11677)
(-8066,25333)
(-3530,-19729)
(-4552,-27751)
(14452,-1169)
(27757,15575)
(-26927,-31987)
(-12470,-1523)
(-28728,-9917)
(-17964,-32719)
(-8706,-30749)
(29475,6028)
(-31385,1896)
(-5019,16057)
(-26249,22689)
(17306,-13966)
(-5946,-15508)
(8023,11218)
(5849,-25184)
(-6260,-9353)
(-27200,18871)
(16289,797)
(12395,-30505)
(21767,18625)
(12857,6779)
(-18921,-16375)
(20773,11755)
(-8902,-30684)
(-23598,-9884)
(-26190,-1556)
(-29526,19854)
(12412,16519)
(8144,5019)
(12184,-30573)
(-8684,31573)
(-28567,26736)
(-5525,-14224)
(28253,5483)
(13035,-26017)
(25588,32567)
(4740,-25489)
(32314,-11807)
(-23248,-24569)
(-15418,26163)
(14124,-5275)
(19586,-415)
(21864,-2955)
(21708,-12865)
(-22338,-16493)
(9380,-19621)
(18636,-20527)
(-30859,-21322)
(4223,-19210)
(-25889,-22172)
(-7427,-15070)
(24843,11126)
(-16043,-5196)
(-24994,-1309)
(17795,24507)
(26934,24243)
(-26446,-20320)
(-27601,-16010)
(-27968,14276)
(-7133,-15261)
(-19769,15171)
(6799,1661)
(-835,1358)
(-28149,-26850)
(21209,-20182)
(14253,-21516)
(11171,-3992)
(-17553,19628)
(-24447,9586)
(4644,-4873)
(30318,20337)
(20849,27376)
(-14963,-19740)
(24098,-5723)
(3590,-11866)
(-91,-2771)
(-2804,24589)
(25396,5756)
(-11717,30390)
(-352,25693)
(-2876,31297)
(-7389,13502)
(12308,-26853)
(14251,-958)
(-16622,2326)
(2917,31743)
(-19138,-10425)
(22967,12609)
(2547,21201)
(11380,-696)
(-29080,-14646)
(-3404,-20600)
(-22795,-25673)
(6736,16914)
(27258,27667)
(31600,22353)
(-4202,22921)
(-22660,32002)
(3812,-412)
(21145,-27279)
(-25977,3936)
(26057,8911)
(32747,-3275)
(14682,5460)
(-20506,1333)
(-5673,11549)
(28831,23979)
(2804,-11981)
(15937,-32017)
(-4309,-13383)
(-13010,15273)
(-5974,-27050)
(-12345,-27144)
(23388,7271)
(32380,14547)
(32487,14809)
(3446,8004)
(-10158,13375)
(32713,-13873)
(2972,10643)
(-21976,-3250)
(-20477,25430)
(14438,10176)
(69,31861)
(-14431,26597)
(905,8463)
(-20673,7858)
(-2741,23072)
(-27763,5540)
(12771,21024)
(-1171,29524)
(1595,-32666)
(12117,-13852)
(-16488,2411)
(21854,-14751)
(11451,-18750)
(-1609,30078)
(-2328,1811)
(-26928,-31514)
(-27319,-31005)
(-2802,9415)
(17834,26836)
(-10557,-22190)
(-29110,-18213)
(17078,10439)
(-8237,5566)
(14602,4781)
(26633,-16356)
(-18362,-20672)
(-4283,-11745)
(3396,23083)
(8513,24277)
(18529,-22383)
(-29092,32660)
(-21752,-29450)
(21566,-14080)
(-19055,27133)
(24830,3654)
(-11704,8881)
(-19748,16947)
(18230,-29393)
(-9922,-19642)
(10894,2596)
(19069,-11095)
(28607,-4418)
(11969,6139)
(-14029,-6159)
(-26750,-8638)
(24854,-11491)
(-24301,13509)
(-31013,13191)
(2006,19477)
(-1551,1997)
(-14979,20525)
(3874,-12235)
(-21726,4036)
(-13603,31386)
(5332,-28447)
(-30804,22281)
(-31583,12447)
(-24574,-13056)
(-29264,-10922)
(17521,-26299)
(13181,-28996)
(-16277,-2782)
(-6859,21549)
(12478,-1931)
(-19240,-15203)
(-19427,-12340)
(13511,31347)
(13243,-7892)
(-6540,12236)
(-16473,877)
(-7412,-17378)
(29560,8689)
(-26859,-17348)
(6170,-16965)
(-17644,27469)
(-27700,-24189)
(-4200,16275)
(-29960,-22364)
(11293,14046)
(-9851,20115)
(-16979,-3391)
(-9878,-25899)
(-21499,23058)
(-14877,3852)
(-13010,-13956)
(28966,-14193)
(21551,5114)
(3721,21310)
(-5210,10739)
(-27526,3964)
(20937,-25784)
(-10820,8594)
(-7133,-16999)
(-6360,-23704)
(24646,-14219)
(-27851,14034)
(23069,-27412)
(30458,-1817)
(22597,-14257)
(-31920,22243)
(31498,-6244)
(-24670,-25591)
(4625,11786)
(29837,14128)
(-7852,27049)
(12262,1282)
(3603,-10495)
(9796,9166)
(-7082,26144)
(1188,2955)
(-14144,28270)
(14519,1264)
(-20819,14488)
(-26535,29281)
(29383,-21060)
(-1277,-3222)
(-22909,30958)
(-27707,9333)
(-10008,3490)
(24399,22615)
(-10667,-10258)
(8588,-27287)
(2720,-25816)
(-16581,7129)
(17641,-20156)
(-14771,32658)
(-13023,-24035)
(-540,15353)
(15520,-25405)
(10363,10956)
(23067,1397)
(-28315,22854)
(832,-27874)
(18515,-14075)
(-116,-19006)
(-10848,15471)
(29363,31234)
(-16226,30737)
(-30230,23635)
(25326,-22623)
(-32024,-31087)
(4378,22254)
(4515,23760)
(24963,-17813)
(-13409,-27671)
(8104,2141)
(-5403,-24920)
(8573,3564)
(16276,-9506)
(5440,15323)
(-7395,31940)
(13991,-32296)
(-2720,-1145)
(-20316,-9796)
(-32443,-6120)
(-20126,12878)
(-30251,29147)
(10202,-9990)
(17832,-4467)
(6403,27624)
(-223,13480)
(-440,-14031)
(-26997,1355)
