(-10258,-20217)
(16168,-17665)
(10547,-4705)
(-25997,-10813)
(-29019,4692)
(-26169,3324)
(1146,-18046)
(3094,-30018)
(-10182,1134)
(16276,-7436)
(20881,16537)
(465,-27495)
(16236,14226)
(-3296,-27646)
(-5023,-2409)
(-15637,23465)
(2360,-26195)
(16592,30761)
(718,7521)
(3046,9805)
(-24179,2286)
(31595,15156)
(-17559,-25556)
(-7949,26774)
(-25481,-2420)
(4499,-29080)
(11831,-2254)
(-16329,-13234)
(24663,24280)
(-23069,-20542)
(-30004,13867)
(-7630,13951)
(-15065,-25931)
(5307,-13721)
(27308,-22939)
(-6154,17899)
(-27276,-4300)
(18636,-2174)
(-21593,18782)
(-4963,21824)
(23117,-18188)
(4119,-7666)
(-22904,31106)
(-16968,-13576)
(-20167,-30332)
(-3739,17556)
(25429,-19695)
(12753,10843)
(1767,9863)
(4881,-15251)
(-1308,22827)
(-19108,-4579)
(-5551,-693)
(-13259,8615)
(-22659,746)
(-14843,-11472)
(-18954,23355)
(8734,-15837)
(-15610,10535)
(1954,-9285)
(3800,22204)
(-328,24578)
(-16370,-15942)
(6454,6912)
(30798,8918)
(11802,8616)
(-13458,30335)
(-3422,29303)
(6006,-14102)
(-772,20676)
(-8329,-21275)
(-16505,23841)
(-2116,-24199)
(19806,12293)
(25433,-21248)
(-13987,-26326)
(-11521,-1349)
(23631,4341)
(7447,-886)
(13091,-32154)
(20324,6524)
(25298,-4026)
(-28757,1493)
(-31105,7909)
(-19160,-13771)
(-7692,-7533)
(30671,-11590)
(-2003,-23254)
(32032,-13638)
(-1350,-3896)
(18091,7099)
(10871,-32105)
(8374,23483)
(30072,9963)
(13765,-4758)
(-20487,7172)
(3856,-9556)
(-15466,-25476)
(-29326,7745)
(17444,27783)
(-1086,-2744)
(-17374,-22028)
(31531,2263)
(-13107,16805)
(10933,12385)
(12803,26297)
(5663,4370)
(-11443,648)
(17116,29721)
(-16774,-21963)
(-159,13274)
(8013,-29204)
(-30547,21670)
(28129,9318)
(14110,-3336)
(32304,696)
(-25137,-278)
(30413,11570)
(21169,13611)
(7495,5021)
(-28334,-22560)
(-9902,4690)
(15249,31857)
(-2269,9925)
(29689,-21160)
(7099,-25888)
(24323,-27068)
(22497,12108)
(-17576,6033)
(25254,-27451)
(-17815,-15325)
(8557,-11785)
(-24039,-28058)
(-6765,-20542)
(-3532,-24468)
(15668,-11884)
(-28916,-27706)
(22014,4608)
(17323,-1889)
(29491,-7321)
(-19256,32522)
(-27768,-20002)
(-7979,26249)
(26603,30635)
(26846,31537)
(-6682,2793)
(-16618,-28455)
(-8286,-27599)
(10885,-1956)
(21099,11078)
(19063,15880)
(-2803,-15766)
(21615,-16472)
(21631,4100)
(-14731,-29028)
(7101,20868)
(-7813,9534)
(-19313,-11036)
(20442,24111)
(15276,23595)
(-683,-22769)
(-7871,6329)
(-17028,-14325)
(-22230,-591)
(23912,-16786)
(7352,10720)
(-23687,-17340)
(-20925,730)
(15783,10284)
(-24991,18274)
(5926,-13118)
(7014,-3236)
(-16291,-26588)
(7353,1092)
(-12661,13581)
(-31453,32527)
(-13755,7525)
(-23409,-4717)
(26734,-1589)
(-30594,-5079)
(-14987,12529)
(-1091,-14183)
(-30363,3748)
(7193,17758)
(-9644,-29197)
(-4568,1519)
(-13850,21261)
(-12974,2121)
(14360,22180)
(-31980,-14354)
(-32316,-19140)
(22204,-2526)
(7342,-7418)
(13578,-7460)
(25968,-20787)
(8536,30533)
(-12048,-3562)
(30718,-21204)
(-9207,-3601)
(-27055,30099)
(-29368,-29821)
(3250,-22849)
(24961,20064)
(12861,-8282)
(-11499,-32027)
(-16011,-26597)
(6621,-9574)
(21049,14486)
(-29126,-22202)
(-17544,-28536)
(9705,-28069)
(-7859,-6677)
(3768,13213)
(22944,-17509)
(18651,-19154)
(25181,-2)
(-22228,3782)
(-26290,32188)
(10815,14379)
(-10429,-9977)
(-3968,425)
(15818,31621)
(25069,-6192)
(21269,-31898)
(11024,3600)
(16754,-11268)
(-26934,-25541)
(-21792,24777)
(-16090,-12532)
(25366,29104)
(3261,20283)
(26403,-1871)
(-6631,-9047)
(-9393,-13287)
(30065,25674)
(-26157,-11216)
(6946,-6369)
(1504,-3541)
(-24677,-31730)
(28591,5476)
(-1387,-25724)
(-1443,-9380)
(-7050,-12052)
(-6412,10088)
(981,9314)
(27375,29922)
(15729,-32369)
(-15761,8745)
(-15814,5336)
(-13754,-8442)
(-17225,7877)
(29265,629)
(14909,9028)
(-28901,-1176)
(31587,-734)
(-10531,-18758)
(19496,14399)
(-32298,23183)
(-17357,-24576)
(-15524,14938)
(-9941,-1243)
(5969,-26057)
(30908,12464)
(28236,32076)
(18289,16372)
(-7536,-25287)
(-2854,24949)
(-31747,26169)
(-3764,14576)
(9356,12080)
(-31516,6943)
(27740,-25882)
(-23937,-7216)
(-1187,-23406)
(-18112,25362)
(19977,-55)
(7904,-13865)
(-25212,-31617)
(-15194,-15531)
(-887,-11879)
(19317,31837)
(29616,3708)
(1633,-11731)
(17203,-32203)
(7078,-14241)
(-23912,27275)
(-3965,4797)
(8847,-2916)
(27015,16816)
(-15473,-22032)
(14076,-26694)
(-30847,-16847)
(21239,-9343)
(22044,-11939)
(11423,25802)
(-17759,-7924)
(30568,-6451)
(1533,-32019)
(-19731,-31111)
(-27885,13913)
(-1937,-22981)
(-20861,-20782)
(4612,18846)
(-6114,-10055)
(-28617,2771)
(637,-21875)
(1471,-2061)
(-5904,-1764)
(13556,-32450)
(-25168,16990)
(534,25773)
(13058,27791)
(-32189,-23746)
(3928,-31318)
(15757,26448)
(-21874,2632)
(14696,2714)
(-19136,-26321)
(-4694,17280)
(-32582,-15938)
(29768,-6042)
(-22466,238)
(24720,18468)
(11998,-13063)
(-13937,18296)
(-12457,21663)
